,Unnamed: 0,Unnamed: 0.1,Jobtitle,Company,City,State,FormattedLocation,Date,Snippet,URL,Latitude,Longitude,Salary,Rating,full_jd,worktype
0,0,0,Night Fill Team Member,Woolworths Supermarkets,Para Hills,SA,Para Hills SA,"Mon, 28 Sep 2020 11:14:33 GMT","Whether you’re starting out, already on the way to achieving your goals or at the top of your game, we can help you build a brilliant retail career:",https://au.indeed.com/viewjob?jk=7d109f7660adfade&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-34.7998,138.6625,None,3.8,"Night Fill Team Member

Starting in the afternoons or evenings, your work in restocking our shelves is vital in keeping the store ticking and our customers happy.

Woolworths, a job is never just a job.

It’s the start of something bigger. There are over 128,000 of us, in the biggest cities and the tiniest towns. And each of us have an important role to play. If you have a passion for great customer service, a hunger to make a tangible difference and you’re looking for a place to develop, you could be who we’re looking for.

Who we are

Joining Woolworths Supermarkets means being a part of the wider Woolworths Group, which includes the businesses of BWS, Dan Murphy’s, Big W, Cellarmasters, ALH Group and Countdown (NZ). Which means you won’t have one opportunity with us, you’ll have thousands.

Why work with us

Whether you’re starting out, already on the way to achieving your goals or at the top of your game, we can help you build a brilliant retail career: If you’ve got goals, we’ve got all you need to succeed. You’ll find over a thousand career options, plus the learning encouragement and support for you to grow. We’re a team that is there for each other. By working alongside people you can learn from, you’ll grow and develop in a fun, supportive environment. Working with a diverse range of people in an industry facing rapid change, you’ll gain real-world experience and grow as a person. Whether it’s making customers smile, supporting Aussie farmers, or playing an important role in your local community, you’ll be doing a little good every day at Woolworths.

When you will be needed

Monday - Saturday 4pm- 11pm

What makes you right for Woolies

The right attitude is everything....
Genuine passion for food & shoppingCustomer first mentalityLove of teamwork and growing with othersFlexible and adaptable to changeWilling to work and reliable

Joining the Group

As an inclusive, team-first company, our people are at the core of everything we do.

We care deeply about creating a workplace where our team members feel valued, respected and empowered. We are committed to providing equal opportunity regardless of gender identity, ethnicity, disability, sexual orientation or life stage and we are proud to be recognised as a Gold Tier Employer in the Australian Workplace Equality Index for LGBTI inclusion.
As our Group continues to evolve, innovate and support our communities, we encourage our team members to do the same with their own careers, by providing ongoing opportunities to grow and make a real difference.

We value flexibility, and encourage our team members to work in ways that meet their work/life commitments and support their wellbeing.

We work hard to create a safe and inclusive environment for all, and most importantly, we're all about creating better experiences – for our customers and for each other.

We’d love to hear from You

If you meet a number of the requirements, but not all, we encourage you to submit your application. You can learn more about working with us on LinkedIn or via www.wowcareers.com.au. #LI

Our Talent Acquisition Team and Hiring Leaders kindly request no unsolicited resumes or approaches from Recruitment Agencies. Woolworths Group is not responsible for any fees related to unsolicited resumes.","<div class=""jobsearch-JobMetadataHeader-item""><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Casual</span></div>"
1,1,1,Retail Assistant (20 hrs pw),ALDI,Dandenong,VIC,Dandenong VIC,"Mon, 28 Sep 2020 03:50:31 GMT","A Retail Assistant at ALDI needs to be able to thrive in a fast paced, team environment and always be willing to go the extra mile for their customers and team.",https://au.indeed.com/viewjob?jk=9d1505be67b5479d&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-37.98333,145.2,None,3.8,"At ALDI, our people are the key to our success.
We're looking for high energy team members who love to keep active and busy. A Retail Assistant at ALDI needs to be able to thrive in a fast paced, team environment and always be willing to go the extra mile for their customers and team. The role is physical in nature, so you'll need to enjoy hands-on work and meeting deadlines. Our shifts can start at 6am some mornings, and finish at 10pm others, so being flexible and available for those shifts is important. Being available to work any 5 out of 7 days is also something we are looking for. Finally, prior experience in a fast paced, retail environment will be viewed favourably; however a positive attitude and hardworking spirit are an absolute must.
What's in it for you?
Market leading remuneration - $25.31 per hour*
Be a part of a leading international retailer
Career opportunities in our rapidly growing store network including progression to Store Management Trainee
Extensive training and development.
Rotating roster and guaranteed contracted hours.
4 weeks annual leave
Work alongside friendly and supportive colleagues

You will be responsible for:
Maintaining and replenishing stock storewide
Operating manual pallet moving equipment
Merchandising stock storewide
Serving and assisting customers in a professional and efficient manner
Operating tills and calculating change manually

Hourly rate for Retail Assistants over 18 years of age.","<div class=""jobsearch-JobMetadataHeader-item""><span class=""icl-u-xs-mr--xs"">$25.31 an hour</span><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs""> -  Part-time</span></div>"
2,2,2,Fresh Team Member,Woolworths Supermarkets,Springfield,QLD,Springfield QLD,"Mon, 28 Sep 2020 11:14:32 GMT","Whether you’re starting out, already on the way to achieving your goals or at the top of your game, we can help you build a brilliant retail career:",https://au.indeed.com/viewjob?jk=5f6559ba4dff27a7&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-27.6639,152.89700000000005,None,3.8,"Fresh Team Member

From meats and cheeses to antipasto, you’ll handle some delicious products.

Woolworths, a job is never just a job.

It’s the start of something bigger. There are over 128,000 of us, in the biggest cities and the tiniest towns. And each of us have an important role to play. If you have a passion for great customer service, a hunger to make a tangible difference and you’re looking for a place to develop, you could be who we’re looking for.

Who we are

Joining Woolworths Supermarkets means being a part of the wider Woolworths Group, which includes the businesses of BWS, Dan Murphy’s, Big W, Cellarmasters, ALH Group and Countdown (NZ). Which means you won’t have one opportunity with us, you’ll have thousands.

Why work with us

Whether you’re starting out, already on the way to achieving your goals or at the top of your game, we can help you build a brilliant retail career: If you’ve got goals, we’ve got all you need to succeed. You’ll find over a thousand career options, plus the learning encouragement and support for you to grow. We’re a team that is there for each other. By working alongside people you can learn from, you’ll grow and develop in a fun, supportive environment. Working with a diverse range of people in an industry facing rapid change, you’ll gain real-world experience and grow as a person. Whether it’s making customers smile, supporting Aussie farmers, or playing an important role in your local community, you’ll be doing a little good every day at Woolworths.

When you will be needed
Meeting the needs of our customers is our number one priority and right now we need new team members who can work between the hours below for this casual position.

Throughout the week with weekend availability essential.

Flexible availability outside the indicated hours may be required as per business needs or peak trading seasons.

What makes you right for Woolies

The right attitude is everything....
Genuine passion for food & shoppingCustomer first mentalityLove of teamwork and growing with othersFlexible and adaptable to changeWilling to work and reliable

Joining the Group

As an inclusive, team-first company, our people are at the core of everything we do.

We care deeply about creating a workplace where our team members feel valued, respected and empowered. We are committed to providing equal opportunity regardless of gender identity, ethnicity, disability, sexual orientation or life stage and we are proud to be recognised as a Gold Tier Employer in the Australian Workplace Equality Index for LGBTI inclusion.
As our Group continues to evolve, innovate and support our communities, we encourage our team members to do the same with their own careers, by providing ongoing opportunities to grow and make a real difference.

We value flexibility, and encourage our team members to work in ways that meet their work/life commitments and support their wellbeing.

We work hard to create a safe and inclusive environment for all, and most importantly, we're all about creating better experiences – for our customers and for each other.

We’d love to hear from You

If you meet a number of the requirements, but not all, we encourage you to submit your application. You can learn more about working with us on LinkedIn or via www.wowcareers.com.au. #LI

Our Talent Acquisition Team and Hiring Leaders kindly request no unsolicited resumes or approaches from Recruitment Agencies. Woolworths Group is not responsible for any fees related to unsolicited resumes.","<div class=""jobsearch-JobMetadataHeader-item""><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Casual</span></div>"
3,3,3,"Fruit Picking, Thinning, Pruning, Packing",Everlasting Agriculture Management,,WA,Western Australia,"Fri, 30 Aug 2019 04:33:55 GMT","Work will be paid accordingly to casual minimum wages or piece rate. We are always looking for people to join our team to do Fruit Picking, Thinning, Pruning or…",https://au.indeed.com/viewjob?jk=a6fe75fb5c3d5083&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,,,None,3.8,"We are always looking for people to join our team to do Fruit Picking, Thinning, Pruning or Packing work in Victoria, New South Wales and Western Australia all year round. If you are interested in working with us whether for one, three or six months, please complete an application form by clicking ""Apply Now"" in the link below.
Work will be paid accordingly to casual minimum wages or piece rate. All wages will be paid weekly through Internet Banking and payslips will be provided.
According to Australian Superannuation Act, our company must contribute 9.50% of your ordinary time earnings in additional to your wage to your choice super fund or our default super fund, if your monthly wage is more than $450.
All workers will be covered by WorkCover Insurance while working with our company, in the event of injury during work.
Applicants are required to have a legal right to work or a valid working visa (eg: Working Holiday Visa or Student Visa with working condition) in Australia, TFN and an Australian Bank Account for employment. All our jobs are legal and can be used for your 2nd or 3rd WHV Application Work Verification. Strictly no illegal workers are allowed!
Transportation to and from work can be arranged with employer assistance at the workers expense.",
4,4,4,Drive-Thru Attendant,BWS,Gawler,SA,Gawler SA,"Tue, 29 Sep 2020 05:14:29 GMT","Whether it's in the way we connect with customers and help them find their special product, or present our stores to be the best place to shop, we believe every…",https://au.indeed.com/viewjob?jk=896b1d74f672099b&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-34.6,138.7333,None,3.8,"At BWS, we are passionate about Beer, Wine and Spirits


Whether it's in the way we connect with customers and help them find their special product, or present our stores to be the best place to shop, we believe every BWS team member has a vital role to play.
We want your passion for drinks to help drive and create memorable moments for our customers.
To best serve our customers, the ideal candidate will have good availability across the day, evenings and weekends.


Role of a Liquor Team Member
Our Team Members play an important role in solving customers’ drinks and special occasions needs through their exceptional passion for product, great customer focus and ability to engage with energy every day. Key responsibilities include:
Actively sharing your passion for products with our customers
Confidently recommending products to customers which meet their needs
Working as a cooperative team member, while helping others to learn
Ensuring a clean and safe working environment
Carrying out the physical tasks associated with the role
Upholding responsible service of alcohol guidelines


What You Need To Succeed
Ability to talk with customers confidently and authentically and provide appropriate solutions
You don’t need to be a drinks expert to join our team - but you do need to have a genuine interest in expanding your knowledge and bringing your ‘vibe’ to the team
We encourage our team members to own their careers - knowing your purpose is important to be successful in our business
Being clear how you can lead and make a difference, in any role in our business","<div class=""jobsearch-JobMetadataHeader-item""><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Casual</span></div>"
5,5,5,Office Assistant/Data Entry,ALDI,,NSW,New South Wales,"Fri, 04 Sep 2020 09:50:58 GMT","An exciting opportunity to join the Buying Administration team has become available within the National Buying department of ALDI Stores, based in Minchinbury.",https://au.indeed.com/viewjob?jk=16f97baf6295ceae&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,,,None,3.8,"An exciting opportunity to join the Buying Administration team has become available within the National Buying department of ALDI Stores, based in Minchinbury. This is a 12 month fixed term contract.

As an Office Assistant, you will be responsible for providing administrative support to the Buying Administration Manager. In this role you will be accountable for tasks such as data entry, data cleansing, stakeholder engagement, data migration and other ad hoc administrative tasks.

What we are looking for:
The successful candidate will have administrative experience in a professional environment, with strong attention to detail and organisational skills. You will be a confident self-starter who demonstrates initiative and is able to manage conflicting priorities, which on occasion may include international conference calls outside of regular business hours.

Selection criteria:
Minimum 2+ years’ experience in an administrative role
Demonstrated experience in data entry, cleansing and migration highly desirable
Prior experience using database systems
Intermediate or above Microsoft Office skills, particularly in Excel
Strong communication skills, both verbal and written
High level of attention to detail and accuracy is essential
Ability to use initiative and proactively problem solve
Ability to prioritise tasks in a fast paced environment
Motivated and enthusiastic attitude, with the ability to work autonomously
Ability to learn new programs and processes
High level of professionalism and dedication

What's in it for you?
Market leading remuneration ($64,600 including super)
5 weeks annual leave per annum
Great work life balance
Be a part of a leading international retailer
Tailored and supportive on-boarding training program to get you started

Role responsibilities:
Assist in the deployment of a global digital transformation project
Identify and implement new and efficient processes
Review existing data sets and identify gaps
Liaise with various local and global stakeholders as required
Collate, cleanse and enrich data in preparation for data migration
Develop and maintain existing databases
Assist with and participate in ad hoc projects

This role reports to the Buying Administration Manager.","<div class=""jobsearch-JobMetadataHeader-item""><span class=""icl-u-xs-mr--xs"">$64,600 - $70,500 a year</span><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs""> -  Contract</span></div>"
6,6,6,Retail Assistant,ALDI,Wyndham Vale,VIC,Wyndham Vale VIC,"Sun, 27 Sep 2020 09:50:33 GMT","A Retail Assistant at ALDI needs to be able to thrive in a fast paced, team environment and always be willing to go the extra mile for their customers and team.",https://au.indeed.com/viewjob?jk=6f05c25648cdc6f4&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-37.8338,144.5712,None,3.8,"At ALDI, our people are the key to our success.
We're looking for high energy team members who love to keep active and busy. A Retail Assistant at ALDI needs to be able to thrive in a fast paced, team environment and always be willing to go the extra mile for their customers and team. The role is physical in nature, so you'll need to enjoy hands-on work and meeting deadlines. Our shifts can start at 6am some mornings, and finish at 10pm others, so being flexible and available for those shifts is important. Being available to work any 5 out of 7 days is also something we are looking for. Finally, prior experience in a fast paced, retail environment will be viewed favourably; however a positive attitude and hardworking spirit are an absolute must.
What's in it for you?
Market leading remuneration - $25.31 per hour*
Be a part of a leading international retailer
Career opportunities in our rapidly growing store network including progression to Store Management Trainee
Extensive training and development.
Rotating roster and guaranteed contracted hours.
4 weeks annual leave
Work alongside friendly and supportive colleagues

You will be responsible for:
Maintaining and replenishing stock storewide
Operating manual pallet moving equipment
Merchandising stock storewide
Serving and assisting customers in a professional and efficient manner
Operating tills and calculating change manually

Hourly rate for Retail Assistants over 18 years of age.","<div class=""jobsearch-JobMetadataHeader-item""><span class=""icl-u-xs-mr--xs"">$25.31 an hour</span><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs""> -  Part-time</span></div>"
7,7,7,Warehouse Operator,ALDI,Minchinbury,NSW,Minchinbury NSW,"Tue, 29 Sep 2020 03:50:55 GMT","Working in our fast-paced Warehouse environment, our Operators select products accurately, safely and efficiently for delivery to our stores.",https://au.indeed.com/viewjob?jk=3d070478d5ba9563&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-33.787209999999995,150.83163000000005,None,3.8,"At ALDI, our people are the key to our success.
Our business couldn't operate without our quick-thinking, energetic Warehouse Operators. Working in our fast-paced Warehouse environment, our Operators select products accurately, safely and efficiently for delivery to our stores. Sound reading and numerical skills are a must. It's physical work and can be tiring but it's also great exercise and you'll soon find your rhythm. There's great camaraderie and you'll feel like everyone's working towards the same goals; to meet deadlines and challenging targets.
We are looking for people that not only ensure their work is completed to the highest standard, but can do so whilst balancing different priorities, tight deadlines and unexpected challenges. Because this role is physically challenging, we need Operators that are able to remain productive and energetic. A love for hands-on, physical work is a must, as is a strong sense of team spirit and a can-do attitude. Sound like you? Then ALDI might be the right fit.
What's in it for you?
Market leading remuneration - from $34.45 per hour + penalties
Four weeks annual leave
Flexible work arrangements and different levels of guaranteed contract hours available
Career opportunities within our Distribution Centres
Comprehensive training and development
First Class equipment and Distribution Centres
Be a part of a leading international retailer
Excellent team culture - work alongside friendly and supportive colleagues

You will be responsible for:
Providing accurate and prompt picking, receiving and dispatching of goods
Managing orders
Controlling stock levels
Operating machinery in a safe and efficient manner

Selection Criteria:
Demonstrated ability to work autonomously and as part of a team
Good attention to detail
Confident and engaging communication skills
Adaptability and flexibility

ALDI as an employer: For the planners, the coordinators, the ones who strive for every efficiency. A role in one of our distribution centres will place you in ALDI's engine room - disciplined, structured, and constantly striving to achieve goals. With all the challenges of supporting a rapidly growing operation, you'll be supported by great conditions, generous remuneration and a culture that'll bring out the best in you.","<div class=""jobsearch-JobMetadataHeader-item""><span class=""icl-u-xs-mr--xs"">$34.45 an hour</span><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs""> -  Part-time</span></div>"
8,8,8,Grocery Team Member,Woolworths Supermarkets,Happy Valley,SA,Happy Valley SA,"Mon, 28 Sep 2020 05:14:38 GMT","Whether you’re starting out, already on the way to achieving your goals or at the top of your game, we can help you build a brilliant retail career:",https://au.indeed.com/viewjob?jk=b4fd98b67f64e481&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-35.07,138.5885,None,3.8,"Grocery Team Member

With an eye for detail and a smile for customers, you’ll ensure the shelves are full, the displays look great and shoppers can find what they need.

Woolworths, a job is never just a job.

It’s the start of something bigger. There are over 128,000 of us, in the biggest cities and the tiniest towns. And each of us have an important role to play. If you have a passion for great customer service, a hunger to make a tangible difference and you’re looking for a place to develop, you could be who we’re looking for.

Who we are

Joining Woolworths Supermarkets means being a part of the wider Woolworths Group, which includes the businesses of BWS, Dan Murphy’s, Big W, Cellarmasters, ALH Group and Countdown (NZ). Which means you won’t have one opportunity with us, you’ll have thousands.

Why work with us

Whether you’re starting out, already on the way to achieving your goals or at the top of your game, we can help you build a brilliant retail career: If you’ve got goals, we’ve got all you need to succeed. You’ll find over a thousand career options, plus the learning encouragement and support for you to grow. We’re a team that is there for each other. By working alongside people you can learn from, you’ll grow and develop in a fun, supportive environment. Working with a diverse range of people in an industry facing rapid change, you’ll gain real-world experience and grow as a person. Whether it’s making customers smile, supporting Aussie farmers, or playing an important role in your local community, you’ll be doing a little good every day at Woolworths.

When you will be needed
Meeting the needs of our customers is our number one priority and right now we need new team members who can work between the hours below for this casual position.

Monday: noon - 4pm, 4pm - 8pm,
Friday: noon - 4pm, 4pm - 8pm,
Saturday: noon - 4pm, 4pm - 8pm,
Sunday: noon - 4pm,

Flexible availability outside the indicated hours may be required as per business needs or peak trading seasons.

What makes you right for Woolies

The right attitude is everything....
Genuine passion for food & shoppingCustomer first mentalityLove of teamwork and growing with othersFlexible and adaptable to changeWilling to work and reliable

Joining the Group

As an inclusive, team-first company, our people are at the core of everything we do.

We care deeply about creating a workplace where our team members feel valued, respected and empowered. We are committed to providing equal opportunity regardless of gender identity, ethnicity, disability, sexual orientation or life stage and we are proud to be recognised as a Gold Tier Employer in the Australian Workplace Equality Index for LGBTI inclusion.
As our Group continues to evolve, innovate and support our communities, we encourage our team members to do the same with their own careers, by providing ongoing opportunities to grow and make a real difference.

We value flexibility, and encourage our team members to work in ways that meet their work/life commitments and support their wellbeing.

We work hard to create a safe and inclusive environment for all, and most importantly, we're all about creating better experiences – for our customers and for each other.

We’d love to hear from You

If you meet a number of the requirements, but not all, we encourage you to submit your application. You can learn more about working with us on LinkedIn or via www.wowcareers.com.au. #LI

Our Talent Acquisition Team and Hiring Leaders kindly request no unsolicited resumes or approaches from Recruitment Agencies. Woolworths Group is not responsible for any fees related to unsolicited resumes.","<div class=""jobsearch-JobMetadataHeader-item""><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Casual</span></div>"
9,9,9,Crew Member,Hungry Jack's,Aberfoyle Park,SA,Aberfoyle Park SA,"Tue, 29 Sep 2020 03:51:23 GMT","Opportunity to complete nationally accredited qualifications in Retail. With over 440 stores in Australia and more than 18,500 employees, we are an iconic…",https://au.indeed.com/viewjob?jk=a07321d722f8a6d3&qd=hpn1PIYnYFUUyI3l1SSmTkclggrWbVEV7hJcqR2L7AEIdJ2MRDUC1Zp1xPdKTLHWXOwuz2TR7zzjHuiY5f_qxyKEUeyFYLJS_6OURBKQ1vs&indpubnum=3864921654995829&atk=1ejdt3hu8rb5u800,-35.07,138.5885,None,3.8,"Variety of shifts available (Casual, part-time and full time)
Global Brand
Staff Discount
About Hungry Jack’s
Hungry Jack’s® is a franchise of the international Burger King Corporation. With over 440 stores in Australia and more than 18,500 employees, we are an iconic Australian brand, delivering quality products within the Quick Service Restaurant industry.
About the role
Working closely with the shift manager and as part of the crew team, this role plays an integral part in the day to day running of the restaurant. At the forefront of the customer experience, this role involves all facets of restaurant operations including front counter, drive-thru & burger room.
Duties
Provide high levels of customer service
Prepare & cook food
Adhere to safety & hygiene standards
Clean equipment, fittings & restaurant areas
Handling money & balancing
Work as a team unit to maintain customer flow
Skills & experience
Be courteous & customer focused
Ability to work quickly with a sense of urgency
Ability to work as part of a team
Ability to follow procedures
Benefits
Flexible shifts
Staff discounts
Uniforms provided
Opportunity to complete nationally accredited qualifications in Retail
Succession & development planning
How to apply
If this sounds like the exciting opportunity you have been looking for then apply now!
Hungry Jack’s is an Equal Opportunity Employer","<div class=""jobsearch-JobMetadataHeader-item""><span class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Full-time, Part-time</span></div>"
